id tweet	date	author	text	app	id user	followers	following	stauses	location	urls	geolocation	name	description	url_media	type media	quoted	relation	replied_id	user replied	retweeted_id	user retweeted	quoted_id	user quoted	first HT	lang	created_at	verified	avatar	link	modularity_class	date_calc
1567249943974248450	2022-09-06 20:34:39	@xipirona	rt @arteviajero_com: retrato de una mujer pompeyana, esta obra maestra de la musivaria romana fue realizada en opus vermiculatum. en ella sorprenden sus minuciosos detalles y el gran realismo. la pieza procede de pompeya y se conserva en el museo arqueológico de nápoles #buenosdias #felizmartes https://t.co/rbf85hhv3q	Twitter for Android	241714001	5519	790	246733	muy en el fondo	None	None	xipirona🚩⛏️	Verteré ríos de tinta. Mujer, comunista, atea, clase trabajadora. No molesten.  Yankees go home!	http://pbs.twimg.com/media/Fb81aYpX0AEKB4g.jpg	photo	None	RT	None	None	1567029932957614080	@arteviajero_com	None	None	BuenosDias	es	2011-01-22 23:45:07	False	https://pbs.twimg.com/profile_images/1510641370763087877/jpHJGrEP_normal.jpg	https://twitter.com/xipirona/status/1567249943974248450	6.0	2022-09-06 20:34
1567250073410572294	2022-09-06 20:35:10	@patriotapsuvv5	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1559548417919094785	23	12	16149		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Kakaroto	HASTA LA VICTORIA SIEMPRE!	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-08-16 14:31:45	False	https://pbs.twimg.com/profile_images/1559549131873554434/v80gP9kR_normal.jpg	https://twitter.com/Patriotapsuvv5/status/1567250073410572294	9.0	2022-09-06 20:35
1567250961571237890	2022-09-06 20:38:42	@arnoldozambra11	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1565546172701368320	11	46	1050		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	arnoldo zambrano		None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-09-02 03:44:58	False	https://pbs.twimg.com/profile_images/1565546297351983104/V_MLJCRm_normal.png	https://twitter.com/arnoldozambra11/status/1567250961571237890	9.0	2022-09-06 20:38
1567251289607544833	2022-09-06 20:40:00	@diarioveahoy	#6sep “son más de 22 mil consejos comunales participando. ahí está la democracia de verdad, socialista y revolucionaria”, dijo el primer mandatario #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/brqsfqyunc	TweetDeck	1127752185301876737	3360	697	82757	Venezuela. Caracas. Parroquia San Agustín. Entre Cristo y Arismendi.	https://diariovea.com.ve/maduro-45-de-consejos-comunales-del-pais-renovaran-su-liderazgo-en-2022/	None	DIARIO VEA	Premio Nacional de Periodismo Aníbal Nazoa 2022. En la calle desde el 2 de septiembre de 2003. Con el espíritu antiimperialista de Simón Bolívar y Hugo Chávez	None	None	None	None	None	None	None	none	None	None	6Sep	es	2019-05-13 01:47:28	False	https://pbs.twimg.com/profile_images/1127761645667852288/GQFh90o6_normal.png	https://twitter.com/DIARIOVEAHOY/status/1567251289607544833	9.0	2022-09-06 20:40
1567251330053316612	2022-09-06 20:40:09	@alexand30281071	rt @diarioveahoy: #6sep “son más de 22 mil consejos comunales participando. ahí está la democracia de verdad, socialista y revolucionaria”, dijo el primer mandatario #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/brqsfqyunc	Twitter for Android	1562136868883501057	48	1	7753		https://diariovea.com.ve/maduro-45-de-consejos-comunales-del-pais-renovaran-su-liderazgo-en-2022/	None	Alexander Araujo		None	None	None	RT	None	None	1567251289607544833	@diarioveahoy	None	None	6Sep	es	2022-08-23 17:57:14	False	https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png	https://twitter.com/Alexand30281071/status/1567251330053316612	9.0	2022-09-06 20:40
1567251548513701891	2022-09-06 20:41:01	@caserio74600952	rt @diarioveahoy: #6sep “son más de 22 mil consejos comunales participando. ahí está la democracia de verdad, socialista y revolucionaria”, dijo el primer mandatario #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/brqsfqyunc	Twitter for Android	1543016436578254848	304	905	6749		https://diariovea.com.ve/maduro-45-de-consejos-comunales-del-pais-renovaran-su-liderazgo-en-2022/	None	CASERIO	Amor propio	None	None	None	RT	None	None	1567251289607544833	@diarioveahoy	None	None	6Sep	es	2022-07-01 23:39:59	False	https://pbs.twimg.com/profile_images/1543018864715366400/VdnTICk-_normal.jpg	https://twitter.com/CASERIO74600952/status/1567251548513701891	9.0	2022-09-06 20:41
1567251708350271488	2022-09-06 20:41:40	@patriotapsuvvv	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1567097391567732737	8	9	848		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Lionel Messi	REVOLUCIÓN Y MÁS REVOLUCIÓN	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-09-06 10:28:38	False	https://pbs.twimg.com/profile_images/1567097920888897537/mKJyQbjh_normal.jpg	https://twitter.com/Patriotapsuvvv/status/1567251708350271488	9.0	2022-09-06 20:41
1567251714218102790	2022-09-06 20:41:41	@lisette22408238	rt @diarioveahoy: #6sep “son más de 22 mil consejos comunales participando. ahí está la democracia de verdad, socialista y revolucionaria”, dijo el primer mandatario #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/brqsfqyunc	Twitter for Android	1345864071774658561	141	103	16600	Ureña, Venezuela	https://diariovea.com.ve/maduro-45-de-consejos-comunales-del-pais-renovaran-su-liderazgo-en-2022/	None	lisette aguilar	Dios todo lo puede.	None	None	None	RT	None	None	1567251289607544833	@diarioveahoy	None	None	6Sep	es	2021-01-03 22:46:34	False	https://pbs.twimg.com/profile_images/1547209946399391752/_Z2rqFgo_normal.jpg	https://twitter.com/lisette22408238/status/1567251714218102790	9.0	2022-09-06 20:41
1567251818324844547	2022-09-06 20:42:06	@humbertreincide	rt @diarioveahoy: #6sep “son más de 22 mil consejos comunales participando. ahí está la democracia de verdad, socialista y revolucionaria”, dijo el primer mandatario #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/brqsfqyunc	Twitter Web App	1492613070493044737	827	917	137283		https://diariovea.com.ve/maduro-45-de-consejos-comunales-del-pais-renovaran-su-liderazgo-en-2022/	None	Humberto González	Músico, poeta, loco e' irreverente mente chavista, cuentas ghumberto36 , ghumberto36_1 , coquineto4904 y humber32409883 suspendidas por el algoritmo de derecha.	None	None	None	RT	None	None	1567251289607544833	@diarioveahoy	None	None	6Sep	es	2022-02-12 21:35:00	False	https://pbs.twimg.com/profile_images/1492613460315754500/AybGgaep_normal.jpg	https://twitter.com/HumbertReincide/status/1567251818324844547	9.0	2022-09-06 20:42
1567251840428818432	2022-09-06 20:42:11	@daniell26192463	rt @casadellibro: “cuanto más me gusta un libro, más despacio lo leo”. anatole broyard #felizmartes https://t.co/m9v3yztgqz	Twitter for iPhone	1328446423042560000	140	108	1309	Marche, Italia	None	None	@Daniellis	Escritora por pasión, aprendiz de vocazione. Historias de amor entre mujeres y tal ves algo más.	http://pbs.twimg.com/media/Fb9DE5QWAAA-NQw.jpg	photo	None	RT	None	None	1567044950927282178	@casadellibro	None	None	FelizMartes	es	2020-11-16 21:15:01	False	https://pbs.twimg.com/profile_images/1537189026037473282/sGOcz7kP_normal.jpg	https://twitter.com/Daniell26192463/status/1567251840428818432	6.0	2022-09-06 20:42
